,title,year,rating,votes
267,The Promise,2016,6.0,"166,617"
268,The Secret of NIMH,1982,7.6,"35,065"
269,Crossroads,2002,3.5,"37,886"
270,The Producers,2005,6.3,"39,849"
271,The Angel,2018,6.6,"10,810"
272,The Beverly Hillbillies,1993,5.0,"16,956"
273,Pee-wee's Big Adventure,1985,7.0,"48,150"
274,Anomalisa,2015,7.3,"62,691"
275,Hard Eight,1996,7.2,"39,403"
276,Creepshow 2,1987,6.1,"21,575"
277,Species II,1998,4.4,"26,781"
278,Hudson Hawk,1991,5.8,"50,653"
279,Bicentennial Man,1999,6.9,"107,375"
280,Winter's Tale,2014,6.2,"51,045"
281,Escape to Witch Mountain,1975,6.4,"8,916"
282,Get Shorty,1995,6.9,"73,970"
283,He's Out There,2018,5.2,"6,219"
284,The Possession of Hannah Grace,2018,5.2,"16,477"
285,Hondo,1953,7.1,"9,048"
286,The Rescuers Down Under,1990,6.9,"36,790"
287,Somewhere in Time,1980,7.2,"25,936"
288,Stuart Little 2,2002,5.5,"48,736"
289,All the Boys Love Mandy Lane,2006,5.5,"30,764"
290,K-19: The Widowmaker,2002,6.7,"58,133"
291,Miss Congeniality 2: Armed & Fabulous,2005,5.1,"67,616"
292,Meet the Spartans,2008,2.8,"100,112"
293,Martha Marcy May Marlene,2011,6.9,"47,456"
294,A-X-L,2018,5.3,"9,229"
295,The Bye Bye Man,2017,4.2,"20,456"
296,Double Impact,1991,5.6,"36,916"
297,Inspector Gadget,1999,4.1,"44,254"
298,Scary Movie 4,2006,5.1,"111,231"
299,The 33,2015,6.9,"34,470"
300,When a Stranger Calls,1979,6.5,"9,217"
301,Frozen,2010,6.1,"65,720"
302,Breaking Away,1979,7.7,"21,044"
303,Heaven Knows What,2014,6.8,"6,000"
304,True Crime,1999,6.6,"31,102"
305,Dracula 2000,2000,4.9,"31,404"
306,Muppets Most Wanted,2014,6.4,"30,591"
307,Mirrors,2008,6.2,"100,341"
308,Into the Grizzly Maze,2015,5.3,"7,638"
309,Uptown Girls,2003,6.1,"34,279"
310,Blue Chips,1994,6.2,"11,821"
311,The Only Living Boy in New York,2017,6.3,"10,510"
312,The Switch,2010,6.1,"94,515"
313,Jungle 2 Jungle,1997,5.2,"22,256"
314,Airheads,1994,6.1,"45,045"
315,Regression,2015,5.7,"35,884"
316,Deadgirl,2008,5.6,"18,168"
317,Safety Not Guaranteed,2012,7.0,"115,283"
318,Glory Road,2006,7.2,"41,915"
319,Bridget Jones's Baby,2016,6.5,"65,473"
320,Mermaids,1990,6.7,"27,703"
321,Invincible,2006,7.1,"64,098"
322,The Bounty,1984,7.0,"23,497"
323,The Human Stain,2003,6.2,"28,714"
324,The Devil's Own,1997,6.2,"56,920"
325,I Spy,2002,5.4,"48,181"
326,Oscar,1991,6.5,"28,986"
327,Fly Away Home,1996,6.8,"22,980"
328,She's Having a Baby,1988,5.9,"11,046"
329,August Rush,2007,7.5,"101,820"
330,The Great Debaters,2007,7.6,"54,863"
331,Gigli,2003,2.5,"45,508"
332,Speak,2004,7.3,"24,297"
333,Friends with Kids,2011,6.1,"40,434"
334,Driveways,2019,7.6,"1,130"
335,The Hidden,1987,7.0,"16,452"
336,Vampires Suck,2010,3.4,"45,699"
337,The Rookie,2002,6.9,"31,372"
338,Palo Alto,2013,6.2,"26,623"
339,Ultraviolet,2006,4.4,"78,386"
340,Diary of a Wimpy Kid: The Long Haul,2017,4.3,"6,542"
341,Middle Men,2009,6.8,"35,990"
342,The Man Who Knew Infinity,2015,7.2,"48,614"
343,Don't Be Afraid of the Dark,2010,5.6,"46,009"
